State ,India,Andaman and Nicobar,Andhra Pradesh,Assam,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Karnataka,Kerala,Lakshadweep,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,West Bengal,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Arunachal Pradesh,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Jharkhand,Madhya Pradesh,Puducherry,Uttar Pradesh,Uttarakhand
2009,1119.18,2257.4,852.32,2544.77,480.13,3148.79,691.16,467.94,1118.64,1438.63,2961.95,1697.42,1233.86,1642.29,3007.09,1710.8,2161.79,1395.1,565.41,301.54,3646.38,1209.22,1821.91,1758.72,409.88,819.52,1452.18,1609.01,1911.45,1359.54,2557.64,880.17,1234.4,1357.59,3004.43,1368.43,809.95,1231.84,1309.8,702.71,1226.74,1008.1,1892.55,885.35,1431.45
2010,1357.24,2430.02,1450.88,3653.17,917.4,3007.42,1036.83,911.74,1506.63,1426.17,3164.98,2010.33,1420.9,2119.84,3703.5,2042.66,2824.19,1502.85,812.11,610.58,3881.7,1387.33,2023.74,1618.99,495.73,848.51,1601.78,1873.15,2228.4,1429.48,3028.55,1186.22,1492.96,1710.35,4683.91,1211.51,1212.87,1486.79,1511.62,1163.6,901.49,979.08,2178.39,1121.03,2141.33
2011,1251.4,2632.88,775.34,2749.35,742.53,3189.68,881.13,735.56,1283.34,1321.6,3012.46,1804.89,1087.24,2133.79,2873.13,1940.27,2572.74,1632.79,766.71,541.53,3744.54,1182.96,1879.48,2039.71,419.99,764.24,1455.24,1785.58,2195.66,1418.39,3188.56,1289.42,1503.66,1611.7,2822.88,1502.45,848.81,1544.97,1433.65,884.22,1569.8,1299.22,1867.17,1119.99,1751.43
2012,1140.18,2254.34,881.07,3079.73,619.67,2536.78,574.93,624.03,1245.47,1045.31,2224.37,1164.68,1028.13,1995.52,3123.54,1866.74,2530.99,1658.63,627.5,495.21,3671.23,871.89,1809.07,1613.68,406.25,753.72,1490.02,1794.8,2096.96,1431.32,2827.79,1140.9,1438.04,1534.11,3947.43,1206.03,678.65,1531.79,1060.08,555.76,1206.15,1154.18,1450.52,977.93,1512.16
2013,1355.64,2627.92,1221.52,2489.91,817.29,3012.56,964.99,763.24,1432.86,1271.51,2754.31,1415.1,1608.56,2220.09,2616.5,1908.27,2308.2,1715.64,819.34,549.76,3518.22,931.81,2035.76,1744.08,390.91,703.92,1424.97,1811.5,2099.02,1493.63,2899.31,1629.62,1924.74,1690,2862.23,1362.28,983.17,1700.21,1889.11,965.32,1279.58,1500.82,1426.07,1277.2,1996.43
2014,1106.28,2249.63,881.09,2673.75,503.89,2813.49,631.99,523.68,1220.6,1183.97,2717.83,1561.58,1091.69,1632.64,2798.89,1429.96,2176.82,1650.94,662.59,426.33,3494.69,1179.07,1446.4,1656.67,381.82,781.43,1605.34,1894.8,2207.48,1452.03,2933.97,1336.19,1505.79,1657.74,2983.34,1238.33,769.23,1422.83,1322.18,857.07,1172.26,928.42,1777.84,848.85,1499.53
2015,1164.73,2188.08,937.55,3050.11,823.8,1888.22,585.29,788.98,1465.76,1043.84,2523.27,1659.53,952.89,2274.69,3681.59,2285.75,2577.41,1456.2,996.73,498.1,3515.63,1449.42,2360.73,2016.69,504.25,966.01,1736.6,2013.15,2245.25,1744.78,2821.71,1541.54,1907.06,1847.28,3132.85,1183.09,1059.54,1316.88,1126.04,558.85,1294.33,1004.87,1857.64,906.22,1581.36
2016,1219.52,2331.65,1039.78,3032.17,786.97,2601.67,656.61,610.62,1026.42,1070.99,1892.11,1106.38,1290.24,2223.41,3317.02,2161.05,2822.67,1473.68,562.23,562.33,3918.04,741.6,2325.9,1843.52,323.06,593.63,1282.89,1489.9,1844.43,1091.27,2594.55,893.89,1195.63,1274.93,3374.95,1449.51,694.63,1614.39,1487.42,756.52,1390.15,1331.06,1181.66,1091.86,1593.15
2017,1209.94,2507.12,959.7,3252.88,757.5,2277.5,953.77,616.73,1488.22,1131.32,2550.92,1634.95,1074.88,2471.15,3992.31,2291.08,2836.77,1648.88,735.09,493.66,3537.94,1182.76,2471.29,2077.41,500.15,939.18,1630.75,1947.81,2208.85,1714.17,2869.66,1521.1,1786.88,1672.93,3188.73,1334.75,939.37,1301.92,1755.11,1016.86,1348.05,884.04,1794.8,978.24,1739.71
2018,1115.7,2372.15,881.74,2372.94,692.9,2712.74,462.55,670.98,1261.34,1140.53,2843.12,1594.76,1054.51,2058.89,2508.19,1729.36,2196.67,1700.78,832.42,424.84,3697.98,1020.46,1697.67,1682.5,429.59,727.44,1451.19,1799.15,2165.35,1345.07,3020.16,1194.5,1537.55,1505.11,2984.1,1132.8,921.62,1427.55,1329.05,614.46,1187.17,1005.36,1562.03,1031.64,1875.6
2019,1379.63,2013.66,1121.45,2808.98,746.52,3370.89,995.48,679.02,1549.82,1379.03,2832.12,1816.49,1548.42,1746.07,3097.57,1627.36,2290.83,1804.43,856.69,636.91,3631.88,1082.24,1631.9,1976.79,491.87,899.74,1695.94,2082.33,2398.5,1747.62,3184.75,1383.97,1723.53,1792.45,3050.46,1532.83,1080.45,1637.45,2030.2,1069.06,1321.99,1466.05,1723.12,1221.66,1719.84
2020,1322.2,2245.65,1310.95,2796.07,708.58,3286.69,942.13,663.2,1190.46,1418.57,2625.54,1804.88,1456.73,1828.86,3310,1674.79,2333.47,1775.4,767.32,438.14,4211.02,1218.59,1829.12,2055.73,333.14,667.17,1429.21,1736.71,2013.36,1375.53,2704.16,1225.28,1549.14,1541.11,3709.89,1679.5,861.94,1688.72,1718.02,1319.73,1560.33,1072.85,1910.31,1113.92,1538.67
