Year,India,Andaman and Nicobar,Andhra Pradesh,Assam,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Karnataka,Kerala,Lakshadweep,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Orissa,Punjab,Rajasthan,Sikkim,Tamil Nadu,Tripura,West Bengal,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Administrative unit not available,Arunachal Pradesh,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli,Daman and Diu,Jharkhand,Madhya Pradesh,Puducherry,Uttar Pradesh,Uttarakhand
1936,1206.11,3101.09,974.84,2613.01,854.51,2318.09,542.45,665.82,1077.82,1009.37,2781.4,1569.1,1097.44,1996.76,4466.51,2840.84,2048.16,1833.51,661.14,384.05,1510.3,1009.56,2865.5,2043.35,193.71,381.24,534.81,660.43,632.78,668.34,660.25,1041.88,1164.52,712.21,2018.15,1599.43,1278.2,1749.66,1507.37,741.56,1652.28,1131.84,1796.3,1319.96,1577.38
1937,1118.73,3335.7,794.26,2076.03,625.14,2515.81,871.49,531.6,1017.75,1086.64,2997.13,1515.1,1200.56,1671.75,3676.07,2441.65,1637.97,1321.17,633.09,476.29,1487.8,1044.97,2270.33,1910.89,186.42,364.42,481.65,655.05,617.01,675.89,635.12,1079.88,1213.73,685.75,1580.45,1416.99,1121.7,1444.83,2115.2,1023.83,1419.66,1174.56,2077.85,970.39,1178.37
1938,1164.78,3291.06,998.11,2865.05,515.25,2333.76,590.38,416.28,815.44,1045.28,2522.04,1556.8,1446.34,2196.61,5130.88,3341.47,2246.62,1353.01,452.99,349.27,1621.7,817.79,3166.74,1707.01,167.02,299.7,398.14,495.27,469.67,522.93,488.92,846.62,945.25,559.37,2133.52,1496.84,890.9,1601.21,2065.3,689.83,1310.43,1206.26,1602.66,1075.83,1036.12
1939,1037.71,2882.59,813.5,2261.93,478.57,2939.69,494.66,396.21,752.02,1101.96,2618.56,1180.9,1014.6,1906.49,4021.84,2882.25,1768.01,1310.17,466,285.98,1378.72,1168.67,2582.7,1930.26,156.51,283.51,419.01,500.53,478.07,504.76,498.58,806.41,907.1,556.79,1691.73,1397.78,843.4,1299.1,1790.05,483.63,1461.38,1020.61,1915.94,989.54,897.76
1940,1162.96,2815.56,950.11,2557.74,674.52,2787.23,596.23,563.15,914.1,1299.76,3281.6,1515.2,1321.13,2058.57,4636.72,3064.24,1905.92,1514.16,581.36,402.46,1484.14,1125.21,3001.95,1746.11,188.72,353.62,469.7,574.31,543.54,609.62,559.11,991.89,1112.24,643.71,1599.73,1266.17,1034.7,1486.83,2336.55,886.1,1266.69,1205.49,2273.9,904.87,1032.21
1941,1009.96,2587.49,697.76,2679.39,493.67,2088.09,697.48,420.11,865.79,1015.59,2693.08,1568.8,878.39,2135.46,4929.76,3165.49,2022.96,1385.57,552.02,334.86,1417.57,1060.62,3199.31,2056.64,177.89,336.15,447.52,568.43,532.01,603.27,537,1022.04,1149.01,620.41,1831.13,1315.62,924.6,1163.17,1641.25,630.37,1416.32,845.54,1871.04,736.49,866.03
1942,1196.64,2948.6,722.76,2401.97,968.16,2948.63,759.54,809.8,1201.57,1127.59,2730.86,1808.9,1255.74,1834.38,4126.14,2681.42,1853.48,1268.85,837.97,631.46,1502.75,935.23,2513.87,1877.41,212.79,437.43,585.06,782.48,739.9,796.66,765.67,1383.08,1474.84,851.71,1718.63,1489.44,1412.9,1500.51,2268.39,641.66,1524.63,1332.98,1769.29,1196.14,1441.5
1943,1138.35,2966.74,901.77,2570.7,681.19,2513.65,776.32,528.43,854.64,1206.54,2766.7,1772.8,1192.45,1994.81,4364.96,2850.53,2023.31,1432.81,533.49,469.63,1474.61,1137.99,2762.64,1890.79,156.99,255.72,329.29,428.98,402.75,483.58,427.65,868.01,1003.9,519.52,1935.91,1378.93,962.7,1325.67,1867.19,966.32,1445.77,1024.65,1867.46,1043.08,1090.11
1944,1215.33,2966.74,952.48,2064.03,735.92,2680.61,995,640.15,1008.41,1100.01,2479.59,1719.9,1380.89,1677.11,3349.86,2421.38,1749.64,1470.34,672.57,606.69,1399.81,1170.67,2194.79,1706.44,194.05,413.43,584.57,768.58,732.62,755.01,766.06,1288.14,1312,837.64,1859.27,1361.05,1146.9,1589.3,2522.84,1166.91,1408.42,1472.55,1868.03,1038.52,1113.69
1945,1167.04,2966.74,871.47,2494.18,880.05,2656.98,1031.21,711.5,1004.89,950.1,2340.76,1543.9,1207.13,1920.36,4149.07,2720.62,2000.71,1384.71,704.59,642.45,1524.9,803.5,2594.55,1800.67,199.68,401.44,590.64,732.12,700.38,709.32,718.41,1127.59,1228.77,773.09,1983.12,1401.39,1243.3,1443.48,2406.91,1255.02,1312.93,1232.62,1482.39,1072.65,1281.14
