,lon,lat,weather_id,main,description,icon,base,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,all,dt,type,sys_id,country,sunrise_timestamp,sunset_timestamp,timezone,city_id,city_name,cod,Datetime,Date,sunrise_time,sunset_time
10,-97.7431,30.2672,800,Clear,clear sky,01n,stations,286.83,285.66,284.42,289.65,1020,54,10000,0.45,199,0,1666247308,2,2003218,US,20-10-2022 12:36,20-10-2022 23:54,-18000,4671654,Austin,200,20-10-2022 06:28,20-10-2022,12:36:17,23:54:53
11,-81.6556,30.3322,800,Clear,clear sky,01n,stations,281.33,280.68,278.29,283.15,1020,80,10000,1.54,230,0,1666247325,2,2037733,US,20-10-2022 11:31,20-10-2022 22:50,-14400,4160021,Jacksonville,200,20-10-2022 06:28,20-10-2022,11:31:58,22:50:31
12,2.3488,48.8534,804,Clouds,overcast clouds,04d,stations,289.33,289.48,288.12,289.9,1010,95,10000,3.6,200,100,1666247358,2,2041230,FR,20-10-2022 06:18,20-10-2022 16:52,7200,2988507,Paris,200,20-10-2022 06:29,20-10-2022,06:18:07,16:52:24
13,4.5833,45.75,500,Rain,light rain,10d,stations,287,286.95,286.2,289.19,1015,96,7747,1.42,193,91,1666247390,2,2007821,FR,20-10-2022 06:04,20-10-2022 16:48,7200,2996943,Arrondissement de Lyon,200,20-10-2022 06:29,20-10-2022,06:04:28,16:48:11
14,7.25,44,802,Clouds,scattered clouds,03d,stations,282.81,282.35,280.49,284.3,1022,62,10000,1.56,23,48,1666247404,2,2072600,FR,20-10-2022 05:51,20-10-2022 16:39,7200,2990439,Arrondissement de Nice,200,20-10-2022 06:30,20-10-2022,05:51:22,16:39:57
15,5.5,43.3333,802,Clouds,scattered clouds,03d,stations,290,289.52,287.41,291.97,1018,68,10000,0.89,99,35,1666247419,2,80238,FR,20-10-2022 05:57,20-10-2022 16:47,7200,2995468,Arrondissement de Marseille,200,20-10-2022 06:30,20-10-2022,05:57:29,16:47:49
16,-0.5805,44.8404,800,Clear,clear sky,01d,stations,289.3,289.27,288.34,289.3,1010,88,10000,4.63,130,0,1666247434,1,6450,FR,20-10-2022 06:23,20-10-2022 17:10,7200,3031582,Bordeaux,200,20-10-2022 06:30,20-10-2022,06:23:52,17:10:05
17,1.4437,43.6043,804,Clouds,overcast clouds,04d,stations,292.89,293.37,289.71,293.14,1013,94,10000,6.69,150,100,1666247410,1,6467,FR,20-10-2022 06:14,20-10-2022 17:03,7200,2972315,Toulouse,200,20-10-2022 06:30,20-10-2022,06:14:05,17:03:40
18,7.743,48.5834,741,Fog,fog,50d,stations,284.74,284.57,283.18,285.16,1016,100,500,1.54,340,100,1666247472,1,6595,FR,20-10-2022 05:56,20-10-2022 16:31,7200,2973783,Strasbourg,200,20-10-2022 06:31,20-10-2022,05:56:05,16:31:17
19,3.8772,43.6109,804,Clouds,overcast clouds,04d,stations,293.34,293.9,291.44,293.86,1017,95,10000,7.72,130,100,1666247487,2,2038454,FR,20-10-2022 06:04,20-10-2022 16:53,7200,2992166,Montpellier,200,20-10-2022 06:31,20-10-2022,06:04:21,16:53:57
20,5.0167,47.3167,804,Clouds,overcast clouds,04d,stations,286.15,286.12,286,289.99,1015,100,7000,1.03,0,99,1666247502,1,6586,FR,20-10-2022 06:05,20-10-2022 16:44,7200,3021372,Dijon,200,20-10-2022 06:31,20-10-2022,06:05:02,16:44:09
21,-1.5833,47.1667,804,Clouds,overcast clouds,04d,stations,286.2,286.02,284.65,286.48,1009,94,10000,2.06,90,100,1666247515,1,6574,FR,20-10-2022 06:31,20-10-2022 17:10,7200,2990968,Arrondissement de Nantes,200,20-10-2022 06:31,20-10-2022,06:31:14,17:10:44
22,72.8479,19.0144,721,Haze,haze,50d,stations,304.14,311.14,303.09,304.14,1012,74,2500,4.12,250,40,1666247097,1,9052,IN,20-10-2022 01:04,20-10-2022 12:42,19800,1275339,Mumbai,200,20-10-2022 06:24,20-10-2022,01:04:00,12:42:35
23,77.2167,28.6667,721,Haze,haze,50d,stations,304.2,302.68,304.2,304.2,1015,27,4000,1.54,210,0,1666247039,1,9165,IN,20-10-2022 00:54,20-10-2022 12:17,19800,1273294,Delhi,200,20-10-2022 06:23,20-10-2022,00:54:38,12:17:01
